busplaName,cntctNo,compAddr,empType,enterType,envBothHands,envEyesight,envLstnTalk,jobNm,offerregDt,regDt,regagnName,reqCareer,reqEduc,rno,rnum,salary,salaryType,termDate,envHandWork,envLiftPower,envStndWalk,reqMajor,reqLicens
주식회사 이프리,1588-1519,대전광역시 유성구 문지로 291 (문지동) 206호,상용직,무관,양손작업 가능,비교적 큰 인쇄물을 읽을 수 있음,듣고 말하기에 어려움 없음,식품 포장원,20260414,20260414,한국장애인고용공단 대전지역본부,0년개월,무관,38,38,"10,320",시급,2026-04-14~2026-05-31,작은 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,오랫동안 가능,,
한국동그라미파트너스,1588-1519,대전광역시 대덕구 대덕대로1447번길 40  (목상동),계약직,무관,한손보조작업 가능,아주 작은 글씨를 읽을 수 있음,듣고 말하기에 어려움 없음,총무 및 일반 사무원,20260414,20260414,한국장애인고용공단 대전지역본부,무관,무관,39,39,"28,400,000",연봉,2026-04-14~2026-04-30,작은 물품 조립가능,5Kg 이내의 물건을 다룰 수 있음,서거나 걷는 일 어려움,,사회복지사/
대전신용보증재단,1588-1519,대전광역시 중구 중앙로 116 (대흥동),계약직,무관,,,,사무 보조원(공공기관),20260414,20260414,한국장애인고용공단 대전지역본부,0년개월,무관,40,40,"10,320",시급,2026-04-14~2026-04-24,,,,,
대전선병원,1588-1519,대전광역시 중구 목중로 29 대전선병원 (목동),계약직,무관,양손작업 가능,아주 작은 글씨를 읽을 수 있음,간단한 듣고 말하기 가능,일반의류 세탁원,20260414,20260414,한국장애인고용공단 대전지역본부,무관,무관,41,41,"2,300,000",월급,2026-04-14~2026-04-24,작은 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,오랫동안 가능,,
대전선병원,1588-1519,대전광역시 중구 목중로 29 대전선병원 (목동),계약직,무관,양손작업 가능,아주 작은 글씨를 읽을 수 있음,간단한 듣고 말하기 가능,병동 보조원,20260414,20260414,한국장애인고용공단 대전지역본부,무관,무관,42,42,"1,630,000",월급,2026-04-14~2026-04-30,작은 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,오랫동안 가능,,
엠마우스산업,1588-1519,광주광역시 광산구 용아로 808 (안청동),상용직,무관,양손작업 가능,일상적 활동 가능,듣고 말하기에 어려움 없음,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",20260414,20260414,한국장애인고용공단 광주지역본부,무관,무관,43,43,"10,320",시급,2026-04-14~2026-05-13,작은 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,오랫동안 가능,,
한국전력공사 전북본부,1588-1519,전라북도 전주시 덕진구 백제대로 741 (인후동2가),계약직,무관,,,,사무 보조원(공공기관),20260414,20260414,한국장애인고용공단 전북지사,0년개월,무관,44,44,"2,156,880",월급,2026-04-14~2026-04-27,,,,,
하남시장애인복지관,1588-1519,경기도 하남시 미사강변남로 56 (풍산동),계약직,무관,,,,작가,20260414,20260414,한국장애인고용공단 경기동부지사,0년0개월,무관,45,45,"10,320",시급,2026-04-14~2026-07-13,,,,,
사천건양요양원,1588-1519,경상남도 사천시 사천읍 구암두문로 338 사천건양요양원 ,상용직,무관,양손작업 가능,비교적 큰 인쇄물을 읽을 수 있음,듣고 말하기에 어려움 없음,단체 급식 보조원,20260414,20260414,한국장애인고용공단 경남서부지사,0년0개월,무관,46,46,"10,320",시급,2026-04-14~2026-04-24,정밀한 작업가능,5~20Kg의 물건을 다룰 수 있음,일부 서서하는 작업 가능,,
아시아드요양병원,1588-1519,부산광역시 연제구 월드컵대로 161 아시아드 요양병원  (연산동),상용직,무관,,,,요양보호사(노인요양사),20260414,20260414,한국장애인고용공단 부산지역본부,0년개월,무관,47,47,"2,200,000",월급,2026-04-14~2026-06-30,,,,,
