orgNm,pgmNm,pgmSubNm,pgmTarget,pgmStdt,pgmEndt,openTimeClcd,openTime,operationTime,openPlcCont
통영고용센터,취업특강,모르면 손해인 근로기준법 상식,［연령 제한 없음］실업급여 수급자/국민취업지원제도 참여자/재직자/구직자 등 통영·고성·거제 거주자,20260421,20260421,1,09:30,2,통영고용센터 2층 교육장
강릉고용센터,취업특강,e나라도움 입문과정,,20260421,20260421,1,10:00,2,강릉고용센터 5층 대강당
해남고용센터,취업특강,알아두면 유익한 금융경제지식,,20260421,20260421,2,02:00,2,해남고용센터 3층 프로그램실
대구고용센터,취업특강,중장년 이력서 작성법,"실업급여수급자, 국민취업지원제도 참여자 등 지역 실업자",20260421,20260421,1,10:00,2,대구고용복지+센터(대구 수성구 동대구로 392) 5층 대회의실
서울남부고용센터,단기집단상담프로그램,생애경력설계 프로그램(40~64세까지),40세~64세미만 참여자,20260421,20260421,2,01:00,4,서울남부고용센터 지하 1층 취업특강실
전주고용센터,기타(인별),고용 정책을 「경험- 이해- 성장(자기이해(성격검사)」이 필요한 청년,(청년특화) 청년 39세까지,20260421,20260421,1,10:00,5,{청년특화] 고용정책에 대해 궁굼하고 자기이해가 필요한 청년
안양고용센터,마음똑똑심플,[마음똑똑심] (온라인-구직자) 자기이해를 기반으로 한 취업의욕 향상(10시~15시★),"**안양, 군포, 의왕, 광명 거주자 우선** 실업급여 수급자, 국민취업지원제도 참여자 및 일반구직자",20260421,20260423,1,10:00,12,비대면 온라인 강의 진행(ZOOM 활용)
서울동부고용센터,마음똑똑심플,[마음똑똑] (온라인-구직자) 자기이해를 기반으로 한 취업의욕 향상,자기이해를 기반으로 한 취업의욕 향상이 필요한 구직자,20260421,20260423,1,09:30,12,온라인
대구서부고용센터,성취,"[성취] 구직자 취업 자신감 향상, 이력서·자소서, 면접 등 구직기술향상",,20260421,20260424,1,09:30,24,대구서부고용복지+센터 7층 단기집단프로그램실
진주고용센터,취업특강,맞춤형 구직서류 작성법,"구직 역량 강화를 희망하는 일반 구직자 및 국민취업지원제도 참여자, 실업급여 수급자",20260422,20260422,2,01:00,2,진주고용센터 5층 대회의실
안산고용센터,[신호탄] 신중년 재취업설계,[신호탄] 신중년(50~60세) 노동시장 정보분석을 기반으로 한 재취업설계,"50~60 신중년 실업급여수급자, 국민취업지원제도 참여자, 구직자도약패키지 참여자, 일반 구직자",20260422,20260424,1,09:30,18,안산고용센터 5층 프로그램 1실
구미고용센터,취업특강,나도 면접왕! 면접 이미지 메이킹,,20260422,20260422,1,10:00,2,구미고용센터 6층 희망룸
광주고용센터,취업특강,재취업자 구직서류 작성법,"일반구직자 및 국민취업지원제도 참여자, 실업급여 수급자 등",20260422,20260422,1,10:00,2,광주고용복지+센터 9층 취업특강실
보령고용센터,취업특강,금융사기 방지 경제교육,,20260422,20260422,2,02:00,2,보령고용센터 4층 대강당
거제고용센터,취업특강,손에 잡히는 생활경제,구직자,20260422,20260422,1,10:00,2,거제고용복지+센터 프로그램실
부산동부고용센터,취업특강,[일자리수요데이-공통] 보이스 피싱 대출사기 피해예방,(공통) 구직자,20260422,20260422,1,10:00,2,"수영역9번,국민연금남부산 4층(별관3강의실)"
고양고용센터,취업특강,SWOT분석을 활용한 자기분석,"일반 구직자, 국민취업지원제도 참여자, 실업급여 수급자,  이직 및 전직 예정자 등",20260422,20260422,1,10:00,2,3층 프로그램실
부산고용센터,취업특강,(만34세 이하 청년층)힐링 블랜딩 티 클래스(실습시음 및 피드백포함),만34세 이하 청년구직자만 참여가능합니다,20260422,20260422,2,02:00,2,부산고용센터 4층 제4프로그램실
원주고용센터,취업특강,(공통) 근로기준법,구직자,20260422,20260422,1,10:00,2,원주고용센터 2층 중강의실
평택고용센터,취업특강,고용24 활용하기,구직자(사전 신청 필수),20260422,20260422,2,02:00,2,"평택고용복지+센터 1층, 프로그램 1실"
화성고용센터,취업특강,재취업자 구직서류 작성법,,20260422,20260422,1,10:00,2,화성고용복지+센터 특강실
영주고용센터,취업특강,금융사기 핵심정보 및 사례,"실업급여수급자, 국민취업지원제도 참여자, 일반구직자 등",20260422,20260422,2,02:00,2,영주지청 3층 대회의실
경산고용센터,취업특강,"위기의 신호, 마음이 보내는 SOS",,20260422,20260422,1,10:00,2,"경산고용센터(경산시 남매로 227, 2층 배움마루)"
공주고용센터,취업특강,면접스킬(대면),,20260422,20260422,1,10:00,2,공주고용복지플러스센터 5층 실업급여 설명회장
부천고용센터,취업특강,생성형 AI를 활용한 구직준비,모든구직자,20260422,20260422,1,10:00,2,부천고용복지플러스센터 7층 단기취업특강실
제주특별자치도고용센터,취업특강,변화가 주는 긍정의 힘(고용센터 운영),일반 구직자 등,20260422,20260422,1,10:00,2,제주고용복지플러스센터 5층 교육장
경주고용센터,취업특강,미리 알고 준비하는 금융꿀팁,"실업급여 수급자, 국민취업지원제도 참여자, 일반구직자 등",20260422,20260422,1,10:00,2,경주고용센터 7층 교육장
서울관악고용센터,취업특강,직장내 괴롭힘 알아보기 일자리 수요데이 in 서울관악,"일반구직자, 실업급여수급자, 국민취업지원제도 참여자 등",20260422,20260422,1,10:00,2,서울관악고용복지+센터 2층 프로그램1실
부산고용센터,취업특강,(고령층) 구직자를 위한 대화의 기술,고령층,20260422,20260422,1,10:00,2,부산고용센터 4층 4프로그램실
전주고용센터,취업특강,청년 직무 특강: 설비 기술 삼성전자,39세 이하 청년구직자,20260422,20260422,2,04:00,2,전주고용센터 8층 청년센터 세미나룸
대구서부고용센터,취업특강,직업훈련부터 취업준비까지,,20260422,20260422,1,10:00,2,대구서부고용복지플러스센터 8층 대회의실
오산고용센터,취업특강,구직자 정신건강 향상 프로그램(하루배움),"국민취업지원참여자, 실업급여수급자, 일반구직자 등",20260422,20260422,2,02:00,2,"오산고용복지+센터 4층, 프로그램 1실"
부산사하고용센터,취업특강,(청년층) 잡(JOB)학다식! 자기소개서 AtoZ,"청년층(중장년층, 고령층 참여 불가)",20260422,20260422,1,10:00,2,부산사하고용센터 10층 제2프로그램실
태백고용센터,취업특강,이력서작성 및 면접요령,,20260422,20260422,2,02:00,2,태백고용복지+센터 2층설명회장
진주고용센터,취업특강,고용24 활용,"구직 역량 강화를 희망하는 일반 구직자 및 국민취업지원제도 참여자, 실업급여 수급자",20260422,20260422,1,10:00,2,진주고용센터 5층 대회의실
안산고용센터,취업특강,재취업자를 위한 구직서류 작성법,"실업급여수급자, 국민취업지원제도 참여자, 구직자도약패키지 참여자, 일반 구직자",20260422,20260422,2,02:00,2,안산고용센터 5층 대강당
삼척고용센터,취업특강,보고듣고 말하기(생명사랑지킴이 양성교육),,20260422,20260422,2,02:00,2,삼척고용복지플러스센터 5층 설명회장
청주고용센터,취업특강,중장년을 위한 취업전략,[관내 거주자만 가능] 구직에 필요한 정보를 습득하고자 하는 구직자,20260422,20260422,1,10:00,2,청주고용복지+센터 3층 행사장
대전고용센터,취업특강,든든한 울타리 복지제도 알아보기,,20260422,20260422,1,09:30,2,대전고용복지플러스센터 5층 단기특강실
칠곡고용센터,취업특강,(4월) 구직자를 위한 평생월급 프로젝트,취업을 희망하는 모든 구직자,20260422,20260422,1,10:00,2,칠곡고용센터 3층 교육장
서울서부고용센터,취업특강,(청년구직자) AI로 하는 희망직무 맞춤형 자기소개서 작성법,청년층 만 34세 이하,20260422,20260422,1,10:00,2,서울서부고용센터 4층 특강실
