jobCd,jobCdLevel,jobCdNm,rnum,jobTask,noticeCn,simlrJob,sprdOckclsYn,jobdevtipCn
15810100,5,소방설계 기술자,2283,"·  소방시설공사에 기본이 되는 공사계획, 설계도면, 시방서, 기술계산서 및 이와 관련된 서류를 작성하고, 소방설계에 관한 연구 및 자문활동 업무를 수행한다.",,"· 소방기술사, 소방설계원, 소방설계전문가",,
15810200,5,소방시설·설비 시공 기술자,2284,"·  소방설비(소화기), 피난설비(유도등 및 유도표지, 비상조명), 경보설비(비상벨설비, 가스누설경 보기), 방화시설 등 소방설비가 설계도에 따라 시공되는 지 관리·  감독한다.","·  소방설비를 위한 전기공사는 본 직무에 분류하되, 그 외의 전기공사는 ‘8312 내선 전기공‘ 중 해당하는 세세세분류로 분류한다.","· 소방공무원, 소방기계설치및정비원, 소방설비기술자, 소방설비시공기술자, 소방설비안전관리기술자, 소방시공기술자, 소방시설공사기술자, 소방안전관리자, 소화기설치원, 화재감지설비설치원",,
15810300,5,소방공사 감리 기술자,2285,·  소방시설공사가 설계도 및 관계 법령에 따라 적법하게 시공되는지 여부의 확인과 품질·  시공관리에 대한 기술지도 및 자문 활동을 수행한다.,,"· 소방감리설계원, 소방감리원, 소방설비공사감리원",,
15820000,5,방재 기술자 및 연구원,2286,"·  폭풍, 호우, 폭설, 홍수, 고조, 지진, 해일 등 자연현상에 따른 재해를 방지하고 줄이기 위하여 법령에 정해진 절차에 따라 시설을 설계, 시공, 감리하고 원인 및 유해 요소를 조사, 분석하여 제반 안전 예방대책을 위한 계획 및 관리 업무를 한다.",,"· 방재공사감리기술자, 방재설계기술자, 방재시설공사기술자, 방재시설관리자",,
15830000,5,소방·방재 및 산업안전 시험원,2287,,,,,
15830100,5,소방공학 시험원,2288,"·  소방공학 기술자 및 연구원의 지휘, 감독하에 기존 설비 및 장비의 성능을 개선하거나 새로운 제품 및 장비의 개발을 위해 각종 소방 설비, 장비, 부품을 시험·  검사하며, 또는 산업건물 및 기타 시설의 화재 위험을 찾아내고 제거 또는 감소시키며 화재 발생 시 화재 원인을 알아내기 위하여 현장을 조사한다. 다만, 아래의 세세세분류에 포함되지 않는 직무는 본 직무로 분류한다.",·  소방공학 관련 연구나 시험을 보조할 경우에는 ‘‘15990001 기타 공학 관련 시험(연구)보조원’’으로 분류한다.,"· 화재감식전문가(소방공학시험원분야), 화재예방전문가",,
15830101,5,소방안전물품관리원,2289,"·  사업장에 비치된 소화전, 소화기 등 소방안전에 관련된 모든 물품 등을 관리하고 화재 발생 시 즉각적으로 사용할 수 있도록 정상상태를 유지하는 업무를 수행한다.",·  한국장애인고용공단의 직무개발사업(현장 중심 직무개발사업)을 통해 개발된 소방 안전 파트너스(2024)는 본 직무로 분류한다.,"· 소방안전물품관리사, 소방안전물품점검원, 소방안전관리사, 소방 안전 파트너스",Y,
15830200,5,비파괴 검사원,2290,"·  제조물을 손상·  파괴하지 않고 제조물 내·  외부에 존재하는 불연속 혹은 결함을 탐지하거나 물리적, 기계적 특성을 파악하기 위하여 검사장비를 사용하여 측정·  검사·  평가한다.",,"· 강관비파괴검사원, 건축물비파괴검사원, 누설비파괴검사원, 도시가스배관비파괴검사원, 방사선비파괴검사원, 산업방사선기사, 선박블럭비파괴검사원, 오일탱크비파괴검사원, 와전류비파괴검사원, 용접제품비파괴검사원, 자기비파괴검사원, 자분탐상비파괴검사원, 조립선체비파괴검사원, 초음파비파괴검사원, 침투비파괴검사원, 크레인비파괴검사원, MT비파괴검사원, PT비파괴검사원, RT비파괴검사원, UT비파괴검사원, X-RAY비파괴검사원",,
15840000,5,산업안전 및 산업위험 관리 기술자,2291,"·  산업안전원은 안전한 작업환경 조성을 위해 산업재해예방계획을 수립하고, 산업재해 원인 조사, 재발 방지 대책 수립, 근로자에 대한 안전, 보건 교육 및 계도 등의 업무를 한다. 위험관리원은 각 산업현장에 배속되어 유해 및 위험방지에 관한 사항, 사고사례분석 및 개선에 관한 사항, 근로자의 안전교육 및 훈련에 관한 업무를 한다.",,"· 건물검사원, 건물안전관리원, 노동안전및보건관리원, 산업안전기술자, 산업안전및보건관리원, 산업안전시험원, 소비자보호안전및보건관리원, 안전관리기술자, 안전관리사, 안전관리시험원, 위험물안전관리사, 전기설비감리시험원, 전기안전및보건관리원, 차량안전및보건관리원, 화학물질안전관리사",,
15910000,5,제도사,2292,,,,,
